,City,Temperature,Humidity,Cloudiness,Wind Speed (mph),Latitude,Longitude,Country,Datetime
266,adrar,80.53,27,67,7.34,20.5,-10.07,MR,1579990972
267,labrea,93.06,51,100,2.21,-7.26,-64.8,BR,1579990792
268,havre-saint-pierre,23.56,80,100,9.01,50.23,-63.6,CA,1579990941
269,mount gambier,61.81,92,70,5.19,-37.83,140.77,AU,1579990972
270,shilka,-10.79,94,89,3.69,51.85,116.03,RU,1579990972
271,hobyo,78.6,79,98,17.72,5.35,48.53,SO,1579990968
272,ossora,29.75,94,100,32.61,59.24,163.07,RU,1579990973
273,aasiaat,8.98,96,100,6.17,68.71,-52.87,GL,1579990973
274,airai,68.27,93,100,1.21,-8.93,125.41,TL,1579990970
275,henderson,63.59,33,100,4.34,36.04,-114.98,US,1579990749
276,necochea,68.56,51,0,8.99,-38.55,-58.74,AR,1579990973
277,inhambane,78.8,77,100,13.2,-23.86,35.38,MZ,1579990973
278,torbay,18.03,79,0,5.01,47.67,-52.73,CA,1579990621
279,palmer,40.55,93,90,8.05,42.16,-72.33,US,1579990953
280,puerto el triunfo,93.0,29,0,2.19,13.28,-88.55,SV,1579990974
281,lompoc,67.23,82,1,8.05,34.64,-120.46,US,1579990956
282,tuatapere,63.64,53,96,1.45,-46.13,167.68,NZ,1579990955
283,victoria,59.85,93,100,1.01,22.29,114.16,HK,1579990681
284,khandyga,-48.6,98,37,0.16,62.67,135.6,RU,1579990974
285,papara,84.0,77,83,13.0,-3.98,-38.73,BR,1579990975
286,garden city,34.05,93,99,7.34,42.33,-83.33,US,1579990975
287,madang,82.51,80,49,7.07,-5.22,145.8,PG,1579990975
288,boa vista,97.09,29,91,4.7,2.82,-60.67,BR,1579990975
289,clearwater,60.24,73,0,1.99,27.97,-82.8,US,1579990975
290,vila velha,74.01,79,100,3.22,-20.33,-40.29,BR,1579990976
291,magistralnyy,11.75,83,71,6.06,56.17,107.45,RU,1579990976
292,opuwo,72.57,36,61,6.8,-18.06,13.84,NA,1579990976
293,luderitz,66.15,91,0,15.19,-26.65,15.16,NA,1579990967
294,tevaitoa,82.0,78,32,14.07,-16.78,-151.5,PF,1579990976
295,chapais,27.36,95,100,6.6,49.78,-74.85,CA,1579990709
296,chiredzi,73.38,61,60,4.23,-21.05,31.67,ZW,1579990977
297,lexington,36.54,83,90,10.29,37.99,-84.48,US,1579990961
298,bubaque,79.34,66,99,15.88,11.28,-15.83,GW,1579990657
299,carlsbad,65.82,49,1,8.05,33.16,-117.35,US,1579990700
300,kunming,33.8,90,81,2.86,25.04,102.72,CN,1579990977
301,beyneu,33.33,96,100,27.31,45.32,55.2,KZ,1579990957
302,toguchin,18.36,92,100,12.39,55.24,84.39,RU,1579990977
303,darhan,5.0,78,3,8.01,49.49,105.92,MN,1579990973
304,asau,27.0,86,71,5.99,46.43,26.4,RO,1579990978
305,izumo,43.09,77,100,6.04,35.37,132.77,JP,1579990978
306,chifeng,12.31,78,0,3.38,42.27,118.96,CN,1579990978
307,margate,42.22,94,100,4.0,51.38,1.39,GB,1579990866
308,el alto,87.73,44,88,21.5,-4.27,-81.21,PE,1579990978
309,san andres,79.11,72,59,13.85,12.58,-81.7,CO,1579990919
310,liberal,55.02,33,25,13.0,37.04,-100.92,US,1579990979
311,sasebo,50.0,93,100,4.0,33.16,129.72,JP,1579990979
312,touros,82.62,82,88,18.68,-5.2,-35.46,BR,1579991121
313,tiarei,87.01,66,11,13.0,-17.53,-149.33,PF,1579990979
314,yang talat,72.3,71,100,3.56,16.4,103.37,TH,1579990979
315,lucea,80.01,68,30,1.01,18.45,-78.17,JM,1579990980
316,paita,86.56,50,66,19.06,-5.09,-81.11,PE,1579990980
317,nikolskoye,28.18,81,0,7.83,59.7,30.79,RU,1579990963
318,jutai,88.23,62,78,2.24,-5.18,-68.9,BR,1579990980
319,sao filipe,75.87,52,38,16.08,14.9,-24.5,CV,1579990980
320,grindavik,33.39,65,20,10.29,63.84,-22.43,IS,1579990964
321,kamenka,35.01,87,100,13.0,51.32,42.77,RU,1579990981
322,banda aceh,71.76,85,95,3.36,5.56,95.32,ID,1579990981
323,caceres,43.0,93,0,3.65,39.52,-6.37,ES,1579990981
324,brownsville,75.15,73,99,5.01,25.9,-97.5,US,1579990981
325,sena madureira,82.06,88,100,3.09,-9.07,-68.66,BR,1579990981
326,roebourne,85.5,50,16,2.15,-20.78,117.13,AU,1579990982
327,altagracia de orituco,78.67,58,100,4.21,9.86,-66.38,VE,1579990982
328,kushmurun,18.36,86,100,23.31,52.45,64.63,KZ,1579990982
329,san lawrenz,56.97,100,100,5.7,36.06,14.2,MT,1579990982
330,skjervoy,21.87,59,86,3.4,70.03,20.97,NO,1579990751
331,guanare,93.15,31,72,5.28,9.04,-69.74,VE,1579990982
332,hailey,36.0,62,93,1.01,43.52,-114.32,US,1579990982
333,safford,64.62,39,1,9.17,32.83,-109.71,US,1579990983
334,urubamba,52.7,64,100,7.23,-13.3,-72.12,PE,1579990983
335,uddevalla,42.96,94,100,8.01,58.35,11.94,SE,1579990983
336,kanniyakumari,78.64,77,57,22.21,8.08,77.57,IN,1579990983
337,manali,75.0,82,85,1.01,13.17,80.27,IN,1579990983
338,hastings,43.03,96,100,1.99,50.86,0.57,GB,1579990983
339,walvis bay,64.0,95,0,1.01,-22.96,14.51,NA,1579990706
340,diu,74.03,63,0,6.64,20.71,70.98,IN,1579990984
341,yeppoon,79.09,81,100,6.17,-23.13,150.73,AU,1579990984
342,qasigiannguit,10.4,43,100,11.41,68.82,-51.19,GL,1579990832
343,alexandria,48.65,72,0,3.85,31.22,29.96,EG,1579990984
344,sakaiminato,43.09,77,100,6.04,35.55,133.23,JP,1579990984
345,khvorostyanka,32.67,97,100,15.66,52.61,48.96,RU,1579990984
346,te anau,57.56,83,80,1.66,-45.42,167.72,NZ,1579990985
347,glace bay,20.32,89,5,3.18,46.2,-59.96,CA,1579990985
348,sorland,37.0,70,100,18.23,67.67,12.69,NO,1579990979
349,bafq,40.69,57,0,9.28,31.61,55.41,IR,1579990985
350,goderich,34.75,93,100,1.99,43.75,-81.72,CA,1579990985
351,ndele,71.47,14,100,8.39,8.41,20.65,CF,1579990986
352,mosetse,78.01,50,59,9.78,-20.75,26.65,BW,1579990986
353,ancud,60.33,94,100,8.79,-41.87,-73.82,CL,1579990986
354,valladolid,41.77,94,98,0.07,41.58,-4.67,ES,1579990986
355,sabang,82.06,64,34,5.55,5.89,95.32,ID,1579990986
356,acapulco,83.28,51,7,9.15,16.86,-99.89,MX,1579990986
357,half moon bay,63.19,68,75,4.59,37.46,-122.43,US,1579990987
358,ayagoz,24.98,95,100,13.09,47.97,80.44,KZ,1579990987
359,luba,77.0,94,20,3.36,3.46,8.55,GQ,1579990987
360,san quintin,65.3,60,90,5.88,30.48,-115.95,MX,1579990987
361,hirara,72.82,87,100,10.83,24.8,125.28,JP,1579990987
362,sao joao da barra,74.79,85,100,8.05,-21.64,-41.05,BR,1579990738
363,rio gallegos,57.9,46,100,34.78,-51.62,-69.22,AR,1579990988
364,marawi,77.0,92,0,1.01,8.0,124.29,PH,1579990968
365,springbok,56.97,88,25,13.53,-29.66,17.89,ZA,1579990988
366,matao,77.59,70,72,5.1,-21.6,-48.37,BR,1579990982
367,genhe,-15.29,98,3,4.07,50.78,121.52,CN,1579990988
368,samana,74.17,78,78,4.38,19.21,-69.34,DO,1579990876
369,west bay,79.32,66,29,8.01,19.37,-81.42,KY,1579990989
370,richards bay,77.0,82,4,25.5,-28.78,32.04,ZA,1579990989
371,mabaruma,82.27,65,100,7.49,8.2,-59.78,GY,1579990989
372,benemerito de las americas,84.92,48,39,3.11,16.52,-90.64,MX,1579990989
373,oktyabrskiy,20.62,95,99,4.63,54.48,53.47,RU,1579990989
374,natal,82.2,82,77,12.37,-5.79,-35.21,BR,1579990890
375,ostrovnoy,2.89,99,43,5.53,68.05,39.51,RU,1579990863
376,estelle,61.74,48,49,3.22,29.85,-90.11,US,1579990990
377,gambela,79.09,22,100,1.3,8.25,34.58,ET,1579990990
378,port hardy,46.76,80,28,4.59,50.7,-127.42,CA,1579990990
379,uyuni,68.94,13,88,20.15,-20.46,-66.83,BO,1579990881
380,birin,37.38,95,36,1.41,26.89,88.07,NP,1579990990
381,manakara,71.35,86,75,5.66,-22.13,48.02,MG,1579990991
382,ukiah,57.25,95,100,4.63,39.15,-123.21,US,1579990991
383,staritsa,29.17,80,98,12.44,56.51,34.94,RU,1579990745
384,sikonge,64.22,96,96,3.71,-5.63,32.77,TZ,1579990992
385,arlit,72.5,8,22,12.33,18.74,7.39,NE,1579990992
386,sibolga,71.74,96,99,2.75,1.74,98.78,ID,1579990964
387,kirovskiy,-7.69,84,0,4.74,45.09,133.51,RU,1579990992
388,howick,72.0,86,0,4.97,-29.48,30.23,ZA,1579990866
389,sehithwa,81.3,43,48,5.59,-20.47,22.72,BW,1579990993
390,geraldton,72.46,80,0,19.3,-28.77,114.6,AU,1579990987
391,wuxue,41.32,91,100,5.93,29.85,115.55,CN,1579990993
392,moose factory,29.05,96,100,8.95,51.26,-80.61,CA,1579990994
393,morganton,42.48,58,4,1.01,35.75,-81.68,US,1579990994
394,muriti,72.72,74,100,6.46,-1.98,32.92,TZ,1579990994
395,constitucion,70.61,49,0,11.36,-35.33,-72.42,CL,1579990835
396,port keats,84.2,83,91,8.81,-14.25,129.55,AU,1579990995
397,auki,83.41,76,0,6.08,-8.77,160.7,SB,1579990995
398,adzope,77.7,75,86,2.66,6.11,-3.86,CI,1579990995
399,baglan,34.68,89,66,1.03,36.13,68.71,AF,1579990995
400,uri,29.52,91,45,4.94,34.08,74.03,IN,1579990995
401,mugur-aksy,0.73,74,100,7.27,50.35,90.5,RU,1579990995
402,ulaangom,-4.32,89,100,3.27,49.98,92.07,MN,1579990996
403,cootamundra,71.8,31,0,4.32,-34.65,148.03,AU,1579990996
404,shyryayeve,32.11,64,0,9.01,47.38,30.2,UA,1579990996
405,omboue,76.93,92,20,3.91,-1.57,9.26,GA,1579990966
406,sinazongwe,77.63,72,0,4.59,-17.26,27.46,ZM,1579990997
407,bacungan,79.99,81,100,5.88,9.91,118.7,PH,1579990997
408,portland,55.2,83,75,4.56,45.52,-122.68,US,1579990687
409,peciu nou,31.42,70,39,5.01,45.61,21.06,RO,1579990998
410,caramay,75.15,83,89,2.01,10.18,119.24,PH,1579990998
411,muvattupula,70.56,78,54,1.97,9.97,76.58,IN,1579990998
412,ondangwa,85.17,36,100,13.47,-17.92,15.95,NA,1579990998
413,san pedro,75.99,91,67,1.01,14.35,121.02,PH,1579990998
414,magadi,62.2,45,72,4.68,12.97,77.23,IN,1579990999
415,xinzhi,27.45,86,100,4.56,36.5,111.7,CN,1579990999
416,nkhata bay,80.15,66,93,3.4,-11.61,34.29,MW,1579990999
417,nabire,74.03,93,99,1.7,-3.37,135.48,ID,1579990999
418,ekhabi,-13.9,82,0,15.97,53.51,142.97,RU,1579990999
419,dera ghazi khan,58.42,47,0,8.43,30.06,70.63,PK,1579990999
420,vallenar,77.88,48,28,12.1,-28.57,-70.76,CL,1579990992
421,chitral,10.24,85,100,3.76,35.85,71.79,PK,1579991001
422,kaeo,80.28,70,98,1.01,-35.1,173.78,NZ,1579990956
423,leningradskiy,-12.96,95,96,4.41,69.38,178.42,RU,1579990984
424,merauke,75.52,91,68,3.31,-8.47,140.33,ID,1579991001
425,jalu,55.49,48,15,8.9,29.03,21.55,LY,1579990934
426,bathsheba,79.21,75,100,9.98,13.22,-59.52,BB,1579990961
427,ponta delgada,62.98,86,100,14.79,37.73,-25.67,PT,1579991002
428,nijar,46.0,93,83,1.01,36.97,-2.21,ES,1579991002
429,lock haven,37.76,94,100,1.99,41.14,-77.45,US,1579991002
430,avera,50.13,47,1,11.41,33.19,-82.53,US,1579990968
431,tovuz,30.2,41,0,4.47,40.99,45.63,AZ,1579991003
432,vestmannaeyjar,41.54,57,74,12.8,63.44,-20.27,IS,1579990959
433,paamiut,17.4,62,86,17.36,61.99,-49.67,GL,1579990966
434,san vicente,80.01,66,15,2.91,-26.62,-54.13,AR,1579991003
435,zabol,28.35,98,100,2.13,32.25,67.25,AF,1579991003
436,alugan,79.43,86,4,10.18,12.22,125.48,PH,1579990962
437,mutoko,64.8,96,33,3.44,-17.4,32.23,ZW,1579991003
438,kamphaeng phet,70.97,54,100,2.24,16.48,99.52,TH,1579991004
439,nelson bay,81.0,83,52,1.99,-32.72,152.15,AU,1579991004
440,tete,71.26,92,0,3.2,-16.16,33.59,MZ,1579990944
441,kieta,81.55,73,28,5.14,-6.22,155.63,PG,1579991004
442,cairns,77.61,96,95,1.01,-16.92,145.77,AU,1579990742
443,rochegda,5.54,94,100,5.68,62.8,43.25,RU,1579991005
444,nikel,8.47,89,23,12.82,69.41,30.22,RU,1579991005
445,waingapu,83.7,76,89,9.51,-9.66,120.26,ID,1579991005
446,kasempa,64.35,95,65,2.91,-13.46,25.83,ZM,1579991005
447,srednekolymsk,-27.18,97,100,5.3,67.45,153.68,RU,1579990966
448,damara,78.8,44,100,2.24,4.96,18.7,CF,1579990776
449,winnemucca,50.0,60,27,4.0,40.97,-117.74,US,1579990982
450,paralimni,44.01,80,0,5.01,35.04,33.98,CY,1579991006
451,loningen,33.91,63,38,4.7,52.73,7.77,DE,1579990932
452,hami,9.0,69,0,3.4,42.8,93.45,CN,1579990975
453,amberley,34.34,88,100,1.99,39.2,-84.43,US,1579991006
454,bo phloi,69.49,66,100,4.27,14.32,99.52,TH,1579991006
455,baneh,14.11,66,0,3.83,36.0,45.89,IR,1579991006
456,aykhal,-22.05,100,100,8.95,66.0,111.5,RU,1579991007
457,tawang,16.16,40,0,3.78,27.58,91.87,IN,1579991007
458,kyaikto,57.2,45,12,2.66,17.3,97.02,MM,1579991007
459,moron,90.52,30,0,3.0,-34.65,-58.62,AR,1579990715
460,along,40.32,73,0,4.83,28.17,94.77,IN,1579991007
461,dalvik,30.2,92,90,9.17,65.97,-18.53,IS,1579991007
462,husavik,30.2,92,90,9.17,66.04,-17.34,IS,1579990960
463,umm lajj,52.74,22,0,10.87,25.02,37.27,SA,1579991008
464,sinnamary,80.01,82,56,18.14,5.38,-52.95,GF,1579990976
465,puerto madero,80.85,76,32,12.06,14.72,-92.42,MX,1579991008
466,madimba,78.51,84,100,4.5,-10.4,40.33,TZ,1579991008
467,tigil,26.46,76,100,25.41,57.8,158.67,RU,1579991008
468,teguldet,16.43,92,100,9.66,57.31,88.17,RU,1579991008
469,yucca valley,66.09,23,1,8.05,34.11,-116.43,US,1579991008
470,gushi,37.22,84,100,5.61,34.64,109.58,CN,1579990955
471,yulara,73.49,20,0,10.89,-25.24,130.99,AU,1579991009
472,djibo,76.41,9,100,9.71,14.1,-1.63,BF,1579991009
473,kuala terengganu,75.0,94,8,3.62,5.33,103.14,MY,1579991009
474,aklavik,-14.55,92,100,22.3,68.22,-135.01,CA,1579990982
475,neyshabur,28.44,73,2,8.5,36.21,58.8,IR,1579991009
476,zaysan,21.38,90,100,0.36,47.47,84.87,KZ,1579991009
477,ruston,59.0,38,40,5.82,32.52,-92.64,US,1579991010
478,sambava,72.5,97,100,2.15,-14.27,50.17,MG,1579991010
479,sao gabriel da cachoeira,82.99,83,100,2.73,-0.13,-67.09,BR,1579991010
480,farafangana,77.07,69,3,15.73,-22.82,47.83,MG,1579991010
481,frontera,70.97,43,100,3.36,26.93,-101.45,MX,1579991010
482,taxisco,86.59,46,0,9.95,14.07,-90.46,GT,1579991011
483,khash,45.72,70,0,5.03,28.22,61.22,IR,1579991011
484,olafsvik,35.91,79,100,13.38,64.89,-23.71,IS,1579991003
485,kudahuvadhoo,81.81,76,100,14.79,2.67,72.89,MV,1579990972
486,shache,21.42,73,28,3.87,38.42,77.24,CN,1579990994
487,kununurra,85.19,68,100,3.49,-15.77,128.73,AU,1579990986
488,itupiranga,84.02,70,100,1.63,-5.13,-49.33,BR,1579991012
489,insar,28.62,89,100,25.23,53.87,44.37,RU,1579991012
490,polunochnoye,-0.24,97,100,1.5,60.87,60.42,RU,1579990865
491,balkanabat,29.16,69,1,0.96,39.51,54.37,TM,1579991012
492,kodino,3.72,97,64,4.12,63.72,39.64,RU,1579991013
493,belgrade,39.97,67,56,1.68,44.8,20.47,RS,1579990942
494,beringovskiy,14.45,85,100,10.78,63.05,179.32,RU,1579991000
495,hovd,8.42,54,100,1.41,48.01,91.64,MN,1579990988
496,coihaique,60.19,63,0,14.9,-45.58,-72.07,CL,1579990982
497,castrillon,37.56,1,0,3.38,43.4,-6.79,ES,1579991013
498,almora,38.97,91,7,1.36,29.62,79.67,IN,1579991014
499,biak,81.27,79,0,3.83,-0.91,122.88,ID,1579990963
500,yarmouth,44.26,100,90,21.92,41.71,-70.23,US,1579991014
501,iquitos,85.82,78,99,1.1,-3.75,-73.25,PE,1579991014
502,peci,38.25,93,52,5.01,44.63,16.79,BA,1579991014
503,kalaleh,34.99,57,0,4.27,37.38,55.49,IR,1579991014
504,san carlos de bariloche,64.06,60,100,14.94,-41.15,-71.31,AR,1579990760
505,abha,62.35,78,0,0.96,18.22,42.51,SA,1579991015
506,santa isabel do rio negro,85.73,76,99,1.39,-0.41,-65.02,BR,1579991015
507,maceio,81.54,84,100,12.86,-9.67,-35.74,BR,1579990705
508,namie,30.0,69,100,4.9,37.48,141.0,JP,1579991015
509,pemangkat,77.25,91,100,3.89,1.17,108.97,ID,1579991016
510,sao miguel do araguaia,79.0,94,99,4.09,-13.28,-50.16,BR,1579991016
511,playas,80.76,71,2,13.91,-2.63,-80.38,EC,1579990984
512,rizhao,33.01,56,100,8.16,35.43,119.46,CN,1579991016
513,dunedin,64.0,77,64,15.01,-45.87,170.5,NZ,1579990817
514,hamilton,34.32,91,100,5.01,39.18,-84.53,US,1579990971
515,thinadhoo,82.22,81,100,14.07,0.53,72.93,MV,1579990997
516,lake charles,61.99,63,100,1.01,30.21,-93.2,US,1579990998
517,coracora,49.66,95,100,10.54,-15.03,-73.78,PE,1579991017
518,gijon,48.36,93,1,3.98,43.54,-5.66,ES,1579991017
519,qaqortoq,15.8,72,100,3.36,60.72,-46.03,GL,1579990977
520,binghamton,35.04,96,100,0.83,42.1,-75.92,US,1579991017
521,verkhnevilyuysk,-24.52,96,85,6.71,63.45,120.32,RU,1579991017
522,warrnambool,63.0,92,50,12.1,-38.38,142.48,AU,1579991017
523,vilyuysk,-31.67,96,95,9.78,63.76,121.62,RU,1579991001
524,payo,67.51,96,98,1.97,-3.75,103.64,ID,1579991018
525,virginia beach,57.81,51,20,5.82,36.85,-75.98,US,1579990837
526,mayya,-35.93,93,0,3.6,61.73,130.28,RU,1579991018
527,kalga,-11.69,94,87,4.97,50.93,118.9,RU,1579991018
528,keelung,65.57,94,100,1.01,25.13,121.74,TW,1579991018
529,baculin,71.82,89,0,3.49,7.45,126.58,PH,1579991018
530,black river,80.01,68,0,1.01,18.03,-77.85,JM,1579990858
531,staryy nadym,-2.07,98,85,2.04,65.61,72.68,RU,1579991019
532,hambantota,78.6,75,91,22.03,6.12,81.12,LK,1579990986
533,kamenskiy,32.11,95,100,24.74,50.89,45.49,RU,1579991019
534,karratha,84.7,75,0,7.47,-20.74,116.85,AU,1579991019
535,jatai,76.66,90,100,2.95,-17.88,-51.71,BR,1579991020
536,moerai,80.71,78,67,9.53,-22.43,-151.33,PF,1579991020
